,SPCD,DIA_cm,HT_m,STATUSCD,CBH_m,CROWN_RADIUS_m,X_m,Y_m
0,116,75.946,32.9184,1,23.04288,2.0431877602246686,-2048989.762006544,2089334.522166649
1,108,45.974,16.154400000000003,1,4.846320000000002,2.3395761081584943,-2049003.347697288,2089337.773910216
2,108,45.974,16.154400000000003,1,4.846320000000002,2.3395761081584943,-2049005.4870055125,2089374.511588544
3,15,,,2,,,-2049013.3978893997,2089352.8224557496
4,108,40.132000000000005,17.9832,1,13.4874,0.930154921707218,-2048977.0914970024,2089346.2423809837
5,108,40.132000000000005,17.9832,1,13.4874,0.930154921707218,-2048986.5032475584,2089373.5810597164
6,108,16.256,11.2776,2,,,-2048996.826616146,2089323.471087447
7,108,16.256,11.2776,2,,,-2048983.0951030303,2089353.3350993395
8,108,50.292,25.6032,1,8.961120000000001,3.443149744082312,-2048975.2502904905,2089349.6204983932
9,108,16.51,7.9248,1,3.1699200000000003,0.9837570697378034,-2049004.794521317,2089334.7296388345
10,116,46.228,25.2984,1,15.17904,2.0936368407240438,-2049001.101697808,2089320.7863664387
11,108,97.282,27.432,1,9.6012,3.689089011516764,-2049015.5405337932,2089348.0327530976
12,108,15.24,6.096,1,2.1336,0.8197975581148362,-2049014.98954014,2089374.3769792416
13,108,15.24,6.096,1,2.1336,0.8197975581148362,-2049003.510871181,2089367.025240024
14,108,41.402,22.250400000000003,1,6.6751200000000015,3.2224350168975486,-2049014.930510688,2089341.6653211988
15,108,66.548,28.346400000000003,1,11.33856,3.5188233648313743,-2049003.5225113204,2089373.595622244
16,116,108.712,29.5656,1,20.69592,1.8350853031647485,-2049011.9825753972,2089375.909278264
17,122,16.256,6.7056,1,4.02336,0.5549398854931199,-2048898.086980708,2089657.757783894
18,122,81.28,31.3944,1,15.6972,3.247659557147236,-2048856.7887927208,2089667.027221626
19,122,18.288,9.7536,1,3.90144,1.210777931984989,-2048854.5238507765,2089669.4890898492
20,122,18.288,9.7536,1,3.90144,1.210777931984989,-2048881.004402555,2089654.7993921733
21,81,24.13,10.668,1,2.667,1.429944268789845,-2048892.559780132,2089664.60682323
22,81,27.686,10.668,1,2.667,1.429944268789845,-2048863.92007018,2089666.4966051043
23,122,67.056,23.4696,1,10.561319999999998,2.67064819893564,-2048873.0709758615,2089657.253960709
24,122,77.216,34.4424,1,18.94332,3.206669679241494,-2048887.5288789277,2089659.8388309996
25,122,61.468,29.260800000000003,1,14.630400000000002,3.0269448299624724,-2048864.4177463995,2089667.134566188
26,15,17.018,8.8392,1,2.2097999999999995,0.7339808184323099,-2048890.8843247497,2089652.9431682944
27,15,17.018,8.8392,1,2.2097999999999995,0.7339808184323099,-2048869.6785997509,2089656.3409471307
28,122,14.223999999999998,7.315200000000001,1,3.6576,0.7567362074906181,-2048871.0344668676,2089657.6041888632
29,122,14.223999999999998,7.315200000000001,1,3.6576,0.7567362074906181,-2048893.8920157996,2089654.356944081
30,122,24.892000000000003,14.0208,1,4.206240000000001,2.030575490099825,-2048847.7447607515,2089619.629966152
31,122,24.892000000000003,14.0208,1,4.206240000000001,2.030575490099825,-2048845.47486904,2089608.8671706296
32,122,16.51,11.5824,1,3.47472,1.6774319266042033,-2048853.7561084467,2089589.9018985375
33,122,16.51,11.5824,1,3.47472,1.6774319266042033,-2048852.4244531312,2089580.1501281308
34,122,25.908,14.630400000000002,1,4.389120000000002,2.1188613809737302,-2048860.7610979765,2089617.410023477
35,122,25.908,14.630400000000002,1,4.389120000000002,2.1188613809737302,-2048865.3588732083,2089606.566126921
36,122,28.956000000000003,14.630400000000002,1,3.6576,2.2702086224718543,-2048842.1330263012,2089594.219467854
37,122,16.256,6.7056,1,4.02336,0.5549398854931199,-2048848.4367733884,2089577.0054169504
38,122,81.28,31.3944,1,15.6972,3.247659557147236,-2048850.0603853937,2089598.9497503464
39,122,78.486,32.6136,1,19.56816,2.6990258067165374,-2048842.675857968,2089571.71426731
40,122,16.002,7.9248,1,3.1699200000000003,0.9837570697378034,-2048834.3676664005,2089580.143411706
41,122,16.002,7.9248,1,3.1699200000000003,0.9837570697378034,-2048828.2127892736,2089579.2685338077
42,122,18.288,9.7536,1,3.90144,1.210777931984989,-2048858.789479561,2089615.370320944
43,122,18.288,9.7536,1,3.90144,1.210777931984989,-2048821.8457281184,2089594.9849027533
44,122,21.336,11.2776,1,3.383280000000001,1.6332889811672506,-2048855.1712255557,2089572.3776910217
45,122,21.336,11.2776,1,3.383280000000001,1.6332889811672506,-2048856.378026468,2089611.266328988
46,122,22.606,10.9728,1,4.389120000000001,1.3621251734831126,-2048844.609329706,2089612.7557398016
47,15,25.908,13.4112,1,2.68224,1.1878678073019453,-2048860.061984926,2089617.3953607983
48,15,25.908,13.4112,1,2.68224,1.1878678073019453,-2048827.9339121385,2089591.3555552363
49,15,24.384,10.3632,1,1.55448,0.9752664667905176,-2048841.3286001205,2089588.2130306603
50,15,24.384,10.3632,1,1.55448,0.9752664667905176,-2048845.9616647516,2089602.4858569796
51,122,12.7,5.486400000000001,1,2.7432000000000003,0.5675521556179636,-2048824.312908369,2089593.4693816805
52,122,12.7,5.486400000000001,1,2.7432000000000003,0.5675521556179636,-2048854.050377951,2089614.40406872
53,122,24.384,12.192,1,6.096,1.2612270124843634,-2048827.1412734832,2089596.242313585
54,81,18.288,7.315200000000001,1,3.6576,0.6536888085896434,-2048854.9660262545,2089609.0046626849
55,15,28.194,10.9728,1,4.389120000000001,0.7289188817534664,-2048844.6338687243,2089574.2334906168
56,122,22.352000000000004,11.8872,1,6.53796,1.1067267034550288,-2048854.021091951,2089593.4982844
57,81,24.13,10.668,1,2.667,1.429944268789845,-2048863.5541174065,2089571.2349479275
58,122,25.908,13.716,1,7.5438,1.276992350140418,-2048829.987203128,2089573.4765520385
59,122,25.908,13.716,1,7.5438,1.276992350140418,-2048852.1933716675,2089612.8414681235
60,81,27.686,10.668,1,2.667,1.429944268789845,-2048827.5247512064,2089597.2380490815
61,81,27.686,10.668,1,2.667,1.429944268789845,-2048860.650298656,2089588.5238267316
62,122,23.368,13.1064,1,6.5532,1.3558190384206907,-2048855.2065943987,2089605.7647948847
63,122,23.368,13.1064,1,6.5532,1.3558190384206907,-2048835.5439853228,2089597.1566216815
64,15,,,2,,,-2048843.8326585111,2089607.961303248
65,15,,,2,,,-2048861.7218821847,2089609.8232681856
66,122,16.764,8.2296,1,3.29184,1.0215938801123343,-2048839.036398001,2089611.7814938584
67,122,16.764,8.2296,1,3.29184,1.0215938801123343,-2048828.3356699825,2089600.217603998
68,81,15.748,6.7056,1,4.02336,0.4793717929657384,-2048830.4235436013,2089586.6897057835
69,81,15.748,6.7056,1,4.02336,0.4793717929657384,-2048843.89682675,2089613.2962688587
